# soname	symbol	version
ld-linux-x86-64.so.2	__libc_stack_end	GLIBC_2.2.5
ld-linux-x86-64.so.2	__tls_get_addr	GLIBC_2.3
libLLVM-14.so.1	LLVMAddAlwaysInlinerPass	LLVM_14
libLLVM-14.so.1	LLVMAddAttributeAtIndex	LLVM_14
libLLVM-14.so.1	LLVMAddCallSiteAttribute	LLVM_14
libLLVM-14.so.1	LLVMAddCase	LLVM_14
libLLVM-14.so.1	LLVMAddFunction	LLVM_14
libLLVM-14.so.1	LLVMAddFunctionInliningPass	LLVM_14
libLLVM-14.so.1	LLVMAddGlobal	LLVM_14
libLLVM-14.so.1	LLVMAddIncoming	LLVM_14
libLLVM-14.so.1	LLVMAddPromoteMemoryToRegisterPass	LLVM_14
libLLVM-14.so.1	LLVMAppendBasicBlockInContext	LLVM_14
libLLVM-14.so.1	LLVMArrayType	LLVM_14
libLLVM-14.so.1	LLVMBuildAdd	LLVM_14
libLLVM-14.so.1	LLVMBuildAlloca	LLVM_14
libLLVM-14.so.1	LLVMBuildAnd	LLVM_14
libLLVM-14.so.1	LLVMBuildBitCast	LLVM_14
libLLVM-14.so.1	LLVMBuildBr	LLVM_14
libLLVM-14.so.1	LLVMBuildCall	LLVM_14
libLLVM-14.so.1	LLVMBuildCondBr	LLVM_14
libLLVM-14.so.1	LLVMBuildGEP	LLVM_14
libLLVM-14.so.1	LLVMBuildICmp	LLVM_14
libLLVM-14.so.1	LLVMBuildLoad	LLVM_14
libLLVM-14.so.1	LLVMBuildOr	LLVM_14
libLLVM-14.so.1	LLVMBuildPhi	LLVM_14
libLLVM-14.so.1	LLVMBuildPointerCast	LLVM_14
libLLVM-14.so.1	LLVMBuildPtrToInt	LLVM_14
libLLVM-14.so.1	LLVMBuildRet	LLVM_14
libLLVM-14.so.1	LLVMBuildRetVoid	LLVM_14
libLLVM-14.so.1	LLVMBuildSExt	LLVM_14
libLLVM-14.so.1	LLVMBuildSelect	LLVM_14
libLLVM-14.so.1	LLVMBuildStore	LLVM_14
libLLVM-14.so.1	LLVMBuildStructGEP	LLVM_14
libLLVM-14.so.1	LLVMBuildSwitch	LLVM_14
libLLVM-14.so.1	LLVMBuildTrunc	LLVM_14
libLLVM-14.so.1	LLVMBuildUnreachable	LLVM_14
libLLVM-14.so.1	LLVMBuildZExt	LLVM_14
libLLVM-14.so.1	LLVMConstInt	LLVM_14
libLLVM-14.so.1	LLVMConstIntToPtr	LLVM_14
libLLVM-14.so.1	LLVMContextCreate	LLVM_14
libLLVM-14.so.1	LLVMContextDispose	LLVM_14
libLLVM-14.so.1	LLVMCountParams	LLVM_14
libLLVM-14.so.1	LLVMCreateBuilderInContext	LLVM_14
libLLVM-14.so.1	LLVMCreateEnumAttribute	LLVM_14
libLLVM-14.so.1	LLVMCreateFunctionPassManagerForModule	LLVM_14
libLLVM-14.so.1	LLVMCreateGDBRegistrationListener	LLVM_14
libLLVM-14.so.1	LLVMCreateMemoryBufferWithContentsOfFile	LLVM_14
libLLVM-14.so.1	LLVMCreatePassManager	LLVM_14
libLLVM-14.so.1	LLVMCreatePerfJITEventListener	LLVM_14
libLLVM-14.so.1	LLVMCreateStringAttribute	LLVM_14
libLLVM-14.so.1	LLVMCreateTargetMachine	LLVM_14
libLLVM-14.so.1	LLVMDisposeBuilder	LLVM_14
libLLVM-14.so.1	LLVMDisposeErrorMessage	LLVM_14
libLLVM-14.so.1	LLVMDisposeMemoryBuffer	LLVM_14
libLLVM-14.so.1	LLVMDisposeMessage	LLVM_14
libLLVM-14.so.1	LLVMDisposeModule	LLVM_14
libLLVM-14.so.1	LLVMDisposePassManager	LLVM_14
libLLVM-14.so.1	LLVMFinalizeFunctionPassManager	LLVM_14
libLLVM-14.so.1	LLVMFunctionType	LLVM_14
libLLVM-14.so.1	LLVMGetAttributeCountAtIndex	LLVM_14
libLLVM-14.so.1	LLVMGetAttributesAtIndex	LLVM_14
libLLVM-14.so.1	LLVMGetBasicBlockParent	LLVM_14
libLLVM-14.so.1	LLVMGetBitcodeModuleInContext2	LLVM_14
libLLVM-14.so.1	LLVMGetDataLayoutStr	LLVM_14
libLLVM-14.so.1	LLVMGetEnumAttributeKindForName	LLVM_14
libLLVM-14.so.1	LLVMGetErrorMessage	LLVM_14
libLLVM-14.so.1	LLVMGetFirstFunction	LLVM_14
libLLVM-14.so.1	LLVMGetHostCPUFeatures	LLVM_14
libLLVM-14.so.1	LLVMGetHostCPUName	LLVM_14
libLLVM-14.so.1	LLVMGetModuleContext	LLVM_14
libLLVM-14.so.1	LLVMGetNamedFunction	LLVM_14
libLLVM-14.so.1	LLVMGetNamedGlobal	LLVM_14
libLLVM-14.so.1	LLVMGetNextFunction	LLVM_14
libLLVM-14.so.1	LLVMGetParam	LLVM_14
libLLVM-14.so.1	LLVMGetTarget	LLVM_14
libLLVM-14.so.1	LLVMGetTargetFromTriple	LLVM_14
libLLVM-14.so.1	LLVMGetTypeContext	LLVM_14
libLLVM-14.so.1	LLVMGetTypeKind	LLVM_14
libLLVM-14.so.1	LLVMGlobalGetValueType	LLVM_14
libLLVM-14.so.1	LLVMInitializeAArch64AsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeAArch64AsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeAArch64Disassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeAArch64Target	LLVM_14
libLLVM-14.so.1	LLVMInitializeAArch64TargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeAArch64TargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeAMDGPUAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeAMDGPUAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeAMDGPUDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeAMDGPUTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeAMDGPUTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeAMDGPUTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeARMAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeARMAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeARMDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeARMTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeARMTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeARMTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeAVRAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeAVRAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeAVRDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeAVRTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeAVRTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeAVRTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeBPFAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeBPFAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeBPFDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeBPFTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeBPFTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeBPFTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeFunctionPassManager	LLVM_14
libLLVM-14.so.1	LLVMInitializeHexagonAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeHexagonAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeHexagonDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeHexagonTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeHexagonTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeHexagonTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeLanaiAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeLanaiAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeLanaiDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeLanaiTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeLanaiTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeLanaiTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeM68kAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeM68kAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeM68kDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeM68kTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeM68kTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeM68kTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeMSP430AsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeMSP430AsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeMSP430Disassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeMSP430Target	LLVM_14
libLLVM-14.so.1	LLVMInitializeMSP430TargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeMSP430TargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeMipsAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeMipsAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeMipsDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeMipsTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeMipsTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeMipsTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeNVPTXAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeNVPTXTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeNVPTXTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeNVPTXTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializePowerPCAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializePowerPCAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializePowerPCDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializePowerPCTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializePowerPCTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializePowerPCTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeRISCVAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeRISCVAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeRISCVDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeRISCVTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeRISCVTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeRISCVTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeSparcAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeSparcAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeSparcDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeSparcTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeSparcTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeSparcTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeSystemZAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeSystemZAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeSystemZDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeSystemZTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeSystemZTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeSystemZTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeVEAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeVEAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeVEDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeVETarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeVETargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeVETargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeWebAssemblyAsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeWebAssemblyAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeWebAssemblyDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeWebAssemblyTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeWebAssemblyTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeWebAssemblyTargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeX86AsmParser	LLVM_14
libLLVM-14.so.1	LLVMInitializeX86AsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeX86Disassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeX86Target	LLVM_14
libLLVM-14.so.1	LLVMInitializeX86TargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeX86TargetMC	LLVM_14
libLLVM-14.so.1	LLVMInitializeXCoreAsmPrinter	LLVM_14
libLLVM-14.so.1	LLVMInitializeXCoreDisassembler	LLVM_14
libLLVM-14.so.1	LLVMInitializeXCoreTarget	LLVM_14
libLLVM-14.so.1	LLVMInitializeXCoreTargetInfo	LLVM_14
libLLVM-14.so.1	LLVMInitializeXCoreTargetMC	LLVM_14
